1100002c	0	1	11	11
12000032	12	23	33	33
54210000	12	34	42	42
2004002c	13	67	-1	-77
13000038	34	45	55	55
35430000	34	56	58	58
20050038	78	133	-1	-143
1100002e	78	89	99	99
12000034	79	100	110	110
54210000	79	111	119	119
2004002c	144	177	-1	-187
1300003a	144	155	165	165
35430000	145	166	168	168
2005003a	188	243	-1	-253
11000030	188	199	209	209
12000036	189	210	220	220
54210000	189	221	229	229
20040030	254	287	-1	-297
1300003c	254	265	275	275
35430000	255	276	278	278
2005003c	298	309	-1	-319
70000000	0	0	0	0
