1100002d	0	12	22	22
12000033	23	34	44	44
54210000	23	45	53	53
2004002d	24	78	-1	-88
13000039	45	56	66	66
35430000	45	67	69	69
20050039	89	144	-1	-154
1100002f	100	111	121	121
12000035	111	122	132	132
54210000	111	133	141	141
2004002d	155	188	-1	-198
1300003b	155	166	176	176
35430000	156	177	179	179
2005003b	199	254	-1	-264
11000031	210	221	231	231
12000037	221	232	242	242
54210000	221	243	251	251
20040031	265	298	-1	-308
1300003d	265	276	286	286
35430000	266	287	289	289
2005003d	309	320	-1	-330
70000000	0	0	0	0
